"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","The hard-coded value ""5TOCyfH3HuszKGzFZntk"" is used as [[""key""|""relative:///app.js:229:22:229:43""]].","/app.js","229","22","229","43"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","The hard-coded value ""pAgGxo8Hzg7PFlv1HpO8Eg0Y6xtP7zYx"" is used as [[""key""|""relative:///app.js:233:13:233:46""]].","/app.js","233","13","233","46"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/javascripts/expressCart.js:223:23:223:49""]] is reinterpreted as HTML without escaping meta-characters.
[[""DOM text""|""relative:///public/javascripts/expressCart.js:224:24:224:51""]] is reinterpreted as HTML without escaping meta-characters.
[[""DOM text""|""relative:///public/javascripts/expressCart.js:225:23:225:49""]] is reinterpreted as HTML without escaping meta-characters.
[[""DOM text""|""relative:///public/javascripts/expressCart.js:226:26:226:55""]] is reinterpreted as HTML without escaping meta-characters.","/public/javascripts/expressCart.js","244","42","244","45"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/javascripts/expressCart.js:639:26:639:57""]] is reinterpreted as HTML without escaping meta-characters.","/public/javascripts/expressCart.js","763","31","763","33"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a file system access""|""relative:///routes/admin.js:431:13:431:36""]], but is not rate-limited.
This route handler performs [[""a file system access""|""relative:///routes/admin.js:490:9:490:32""]], but is not rate-limited.","/routes/admin.js","419","102","419","122"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a file system access""|""relative:///routes/admin.js:512:5:521:6""]], but is not rate-limited.","/routes/admin.js","508","72","508","86"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///routes/admin.js:512:27:512:34""]].","/routes/admin.js","512","15","512","38"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///routes/product.js:268:36:268:48""]].","/routes/product.js","268","16","268","48"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///routes/product.js:329:47:329:54""]].","/routes/product.js","329","27","329","68"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///routes/product.js:339:43:339:50""]].","/routes/product.js","339","23","339","64"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression is constructed from a [[""user-provided value""|""relative:///routes/order.js:37:34:37:55""]].","/routes/order.js","37","28","37","70"
"Missing CSRF middleware","Using cookies without CSRF protection may allow malicious websites to submit requests on behalf of the user.","error","This cookie middleware is serving a request handler [[""here""|""relative:///routes/index.js:148:36:188:1""]] without CSRF protection.
This cookie middleware is serving a request handler [[""here""|""relative:///routes/index.js:191:40:205:1""]] without CSRF protection.
This cookie middleware is serving a request handler [[""here""|""relative:///routes/index.js:208:35:215:1""]] without CSRF protection.
This cookie middleware is serving a request handler [[""here""|""relative:///routes/index.js:218:35:290:1""]] without CSRF protection.
This cookie middleware is serving a request handler [[""here""|""relative:///routes/payments/authorizenet.js:8:33:136:1""]] without CSRF protection.
This cookie middleware is serving a request handler [[""here""|""relative:///routes/payments/paypal.js:108:33:204:1""]] without CSRF protection.
This cookie middleware is serving a request handler [[""here""|""relative:///routes/payments/stripe.js:8:33:110:1""]] without CSRF protection.
This cookie middleware is serving a request handler [[""here""|""relative:///routes/user.js:90:52:140:1""]] without CSRF protection.","/app.js","229","9","229","44"
"Loop bound injection","Iterating over an object with a user-controlled .length property can cause indefinite looping.","warning","Iterating over user-controlled object with a potentially unbounded .length property from [[""here""|""relative:///routes/admin.js:171:38:171:45""]].","/lib/common.js","242","15","242","20"
"Loop bound injection","Iterating over an object with a user-controlled .length property can cause indefinite looping.","warning","Iterating over user-controlled object with a potentially unbounded .length property from [[""here""|""relative:///lib/common.js:385:28:385:35""]].","/lib/common.js","385","28","385","41"
"Remote property injection","Allowing writes to arbitrary properties of an object may lead to denial-of-service attacks.","warning","A [[""user-provided value""|""relative:///routes/admin.js:188:28:188:35""]] is used as a property name to write to.","/routes/admin.js","188","28","188","43"
"File data in outbound network request","Directly sending file data in an outbound network request can indicate unauthorized information disclosure.","warning","[[""File data""|""relative:///lib/common.js:233:29:233:125""]] flows directly to outbound network request","/routes/payments/authorizenet.js","37","30","37","39"
