"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '?><?'.","/dist/converse-mobile.js","22930","51","22930","53"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '?><?'.","/dist/converse.js","22930","51","22930","53"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""second""|""relative:///dist/converse-mobile.js:24349:27:24349:32""]] to [[""first""|""relative:///dist/converse-mobile.js:24353:21:24353:25""]] without guarding against prototype pollution.","/dist/converse-mobile.js","24353","21","24353","25"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""second""|""relative:///dist/converse-no-dependencies.js:1359:27:1359:32""]] to [[""first""|""relative:///dist/converse-no-dependencies.js:1363:21:1363:25""]] without guarding against prototype pollution.","/dist/converse-no-dependencies.js","1363","21","1363","25"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""second""|""relative:///dist/converse.js:24349:27:24349:32""]] to [[""first""|""relative:///dist/converse.js:24353:21:24353:25""]] without guarding against prototype pollution.","/dist/converse.js","24353","21","24353","25"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""second""|""relative:///src/utils.js:258:27:258:32""]] to [[""first""|""relative:///src/utils.js:262:21:262:25""]] without guarding against prototype pollution.","/src/utils.js","262","21","262","25"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '\\'.","/dist/converse-mobile.js","12556","28","12556","36"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '\\'.","/dist/converse.js","12556","28","12556","36"
"Unsafe expansion of self-closing HTML tag","Using regular expressions to expand self-closing HTML tags may lead to cross-site scripting vulnerabilities.","warning","This self-closing HTML tag expansion invalidates prior sanitization as [[""this regular expression""|""relative:///dist/converse-mobile.js:5561:14:5561:87""]] may match part of an attribute value.","/dist/converse-mobile.js","5761","10","5761","47"
"Unsafe expansion of self-closing HTML tag","Using regular expressions to expand self-closing HTML tags may lead to cross-site scripting vulnerabilities.","warning","This self-closing HTML tag expansion invalidates prior sanitization as [[""this regular expression""|""relative:///dist/converse.js:5561:14:5561:87""]] may match part of an attribute value.","/dist/converse.js","5761","10","5761","47"
"Double escaping or unescaping","When escaping special characters using a meta-character like backslash or ampersand, the meta-character has to be escaped first to avoid double-escaping, and conversely it has to be unescaped last to avoid double-unescaping.","warning","This replacement may produce '&' characters that are double-unescaped [[""here""|""relative:///dist/converse-mobile.js:18617:16:18617:42""]].","/dist/converse-mobile.js","18616","16","18616","43"
"Double escaping or unescaping","When escaping special characters using a meta-character like backslash or ampersand, the meta-character has to be escaped first to avoid double-escaping, and conversely it has to be unescaped last to avoid double-unescaping.","warning","This replacement may produce '&' characters that are double-unescaped [[""here""|""relative:///dist/converse.js:18617:16:18617:42""]].","/dist/converse.js","18616","16","18616","43"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///fonticons/demo-files/demo.js:18:25:18:38""]] is reinterpreted as HTML without escaping meta-characters.","/fonticons/demo-files/demo.js","18","25","18","66"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\.' is equivalent to just '.', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///dist/converse-mobile.js:14724:57:14724:110""]].","/dist/converse-mobile.js","14724","100","14724","101"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\.' is equivalent to just '.', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///dist/converse-mobile.js:14725:58:14725:116""]].","/dist/converse-mobile.js","14725","106","14725","107"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\.' is equivalent to just '.', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///dist/converse-mobile.js:14726:56:14726:112""]].","/dist/converse-mobile.js","14726","102","14726","103"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\.' is equivalent to just '.', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///dist/converse.js:14724:57:14724:110""]].","/dist/converse.js","14724","100","14724","101"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\.' is equivalent to just '.', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///dist/converse.js:14725:58:14725:116""]].","/dist/converse.js","14725","106","14725","107"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\.' is equivalent to just '.', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///dist/converse.js:14726:56:14726:112""]].","/dist/converse.js","14726","102","14726","103"
