
/src/client/js/ace/mode-fbp.js
   78:25  warning  Unsafe Regular Expression                         security/detect-unsafe-regex
  201:35  warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
  204:34  warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
  354:9   warning  Generic Object Injection Sink                     security/detect-object-injection
  355:26  warning  Generic Object Injection Sink                     security/detect-object-injection
  356:15  warning  Generic Object Injection Sink                     security/detect-object-injection

/src/client/js/collapse/ui-bootstrap-custom-0.13.1.min.js
  8:750  warning  The method $watch can be dangerous  angularjs-security-rules/detect-angular-scope-expressions

/src/client/js/combobox/jquery-ui-custom-combobox.js
  13:22  warning  The function hide can be unsafe                   scanjs-rules/call_hide
  83:23  warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp

/src/client/js/controllers.js
  27:25  warning  The Function constructor can be unsafe  scanjs-rules/new_Function

/src/client/js/controllers/cheat_sheet.js
  28:40  warning  The use of $sce.trustAsResourceUrl can be dangerous  angularjs-security-rules/detect-angular-trustAsResourceUrl-method

/src/client/js/controllers/editor.js
  155:22  warning  Assignment to src can be unsafe       scanjs-rules/assign_to_src
  174:32  warning  The method $compile can be dangerous  angularjs-security-rules/detect-angular-service-expressions
  221:39  warning  Generic Object Injection Sink         security/detect-object-injection
  229:33  warning  Generic Object Injection Sink         security/detect-object-injection
  241:80  warning  Generic Object Injection Sink         security/detect-object-injection
  242:61  warning  Generic Object Injection Sink         security/detect-object-injection
  256:56  warning  The method $compile can be dangerous  angularjs-security-rules/detect-angular-service-expressions
  525:39  warning  The method $compile can be dangerous  angularjs-security-rules/detect-angular-service-expressions
  571:39  warning  The method $compile can be dangerous  angularjs-security-rules/detect-angular-service-expressions
  585:53  warning  The function hide can be unsafe       scanjs-rules/call_hide
  628:39  warning  The method $compile can be dangerous  angularjs-security-rules/detect-angular-service-expressions
  680:41  warning  The method $compile can be dangerous  angularjs-security-rules/detect-angular-service-expressions

/src/client/jstree/jstree.min.js
  2:1061   warning  Function Call Object Injection Sink                       security/detect-object-injection
  2:1730   warning  Generic Object Injection Sink                             security/detect-object-injection
  2:1953   warning  Generic Object Injection Sink                             security/detect-object-injection
  2:2571   warning  Variable Assigned to Object Injection Sink                security/detect-object-injection
  2:2601   warning  Generic Object Injection Sink                             security/detect-object-injection
  2:7121   warning  The function setTimeout can be unsafe                     scanjs-rules/call_setTimeout
  2:7423   warning  Generic Object Injection Sink                             security/detect-object-injection
  2:7530   warning  Function Call Object Injection Sink                       security/detect-object-injection
  2:7759   warning  The function setTimeout can be unsafe                     scanjs-rules/call_setTimeout
  2:8230   warning  Found non-literal argument to RegExp Constructor          security/detect-non-literal-regexp
  2:10336  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:10341  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:10728  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:10750  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:11617  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:11644  warning  Function Call Object Injection Sink                       security/detect-object-injection
  2:13945  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:14014  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:14039  warning  Function Call Object Injection Sink                       security/detect-object-injection
  2:14073  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:14189  warning  Function Call Object Injection Sink                       security/detect-object-injection
  2:14231  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:15042  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:15052  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:15074  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:15115  warning  Function Call Object Injection Sink                       security/detect-object-injection
  2:15137  warning  Function Call Object Injection Sink                       security/detect-object-injection
  2:15186  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:15195  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:15222  warning  Function Call Object Injection Sink                       security/detect-object-injection
  2:15458  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:15467  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:15483  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:15510  warning  Function Call Object Injection Sink                       security/detect-object-injection
  2:18017  warning  Variable Assigned to Object Injection Sink                security/detect-object-injection
  2:18176  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:18212  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:18300  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:18327  warning  Generic Object Injection Sink                             security/detect-object-injection
  2:19085  warning  Variable Assigned to Object Injection Sink                security/detect-object-injection
