"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","The hard-coded value ""keepitsecret"" is used as [[""key""|""relative:///server/app.js:56:25:56:38""]].","/server/app.js","56","25","56","38"
"Reflected cross-site scripting","Writing user input directly to an HTTP response allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""user-provided value""|""relative:///server/routes.js:177:25:177:43""]].","/server/routes.js","189","42","189","93"
"Reflected cross-site scripting","Writing user input directly to an HTTP response allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""user-provided value""|""relative:///server/routes.js:177:25:177:43""]].","/server/routes.js","192","38","192","89"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command depends on [[""a user-provided value""|""relative:///server/routes.js:63:27:63:43""]].","/server/routes.js","67","34","69","60"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a file system access""|""relative:///server/routes.js:32:9:35:10""]], but is not rate-limited.","/server/routes.js","31","21","31","40"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a file system access""|""relative:///server/routes.js:57:18:57:61""]], but is not rate-limited.","/server/routes.js","56","33","56","52"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a system command""|""relative:///server/routes.js:67:29:69:61""]], but is not rate-limited.","/server/routes.js","61","39","61","58"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a system command""|""relative:///server/routes.js:101:29:102:90""]], but is not rate-limited.","/server/routes.js","94","32","94","51"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a system command""|""relative:///server/routes.js:129:25:130:83""]], but is not rate-limited.
This route handler performs [[""a system command""|""relative:///server/routes.js:151:25:152:60""]], but is not rate-limited.","/server/routes.js","121","33","121","52"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a system command""|""relative:///server/routes.js:274:29:275:83""]], but is not rate-limited.
This route handler performs [[""a system command""|""relative:///server/routes.js:277:29:277:70""]], but is not rate-limited.","/server/routes.js","254","34","254","53"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""a system command""|""relative:///server/routes.js:478:21:478:40""]], but is not rate-limited.","/server/routes.js","472","34","472","54"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///server/routes.js:57:34:57:51""]].","/server/routes.js","57","34","57","51"
"Information exposure through a stack trace","Propagating stack trace information to an external user can unintentionally reveal implementation details that are useful to an attacker for developing a subsequent exploit.","warning","Stack trace information from [[""here""|""relative:///server/routes.js:467:18:467:20""]] may be exposed to an external user here.","/server/routes.js","468","34","468","36"
