
/src/script/runner.js
   61:2   warning  Found fs.open with non literal argument at index 0  security/detect-non-literal-fs-filename
   76:5   warning  The function setTimeout can be unsafe               scanjs-rules/call_setTimeout
   87:3   warning  The function addEventListener can be unsafe         scanjs-rules/call_addEventListener
  129:28  warning  Generic Object Injection Sink                       security/detect-object-injection

/src/src/rails.js
  187:7   warning  The function hide can be unsafe        scanjs-rules/call_hide
  215:39  warning  Function Call Object Injection Sink    security/detect-object-injection
  217:9   warning  Function Call Object Injection Sink    security/detect-object-injection
  235:44  warning  Function Call Object Injection Sink    security/detect-object-injection
  426:11  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  430:27  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  440:9   warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout

/src/test/public/test/call-remote-callbacks.js
  135:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  151:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  167:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  211:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  225:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  240:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  261:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  286:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  307:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  390:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  404:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout

/src/test/public/test/call-remote.js
   96:9  warning  Assignment to href can be unsafe       scanjs-rules/assign_to_href
  113:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  157:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  172:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout

/src/test/public/test/data-confirm.js
   93:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  114:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  135:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  157:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  178:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  200:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  222:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout

/src/test/public/test/data-disable-with.js
   53:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
   71:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
   90:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
   97:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  126:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  141:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  156:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  163:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  174:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  216:7  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  236:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  254:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  271:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  326:7  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  346:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  364:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  381:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout

/src/test/public/test/data-disable.js
   43:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
   61:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
   80:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
   87:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
   98:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  113:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  125:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  155:7  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  175:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  193:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  210:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  265:7  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  285:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  303:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  320:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout

/src/test/public/test/data-remote.js
   47:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
   71:3  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  187:5  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout

/src/test/public/test/override.js
  15:5  warning  Assignment to href can be unsafe  scanjs-rules/assign_to_href
  25:3  warning  Assignment to href can be unsafe  scanjs-rules/assign_to_href

/src/test/public/vendor/jquery.metadata.js
  101:11  warning  The function eval can be unsafe              scanjs-rules/call_eval
  101:11  warning  eval with argument of type BinaryExpression  security/detect-eval-with-expression

