"Replacement of a substring with itself","Replacing a substring with itself has no effect and may indicate a mistake.","warning","This replaces '/' with itself.","/lib/objects/objectsInMemServer.js","692","33","692","37"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""additional""|""relative:///lib/setup/setupUpload.js:483:26:483:35""]] to [[""target""|""relative:///lib/setup/setupUpload.js:491:25:491:30""]] without guarding against prototype pollution.","/lib/setup/setupUpload.js","491","25","491","30"
"Use of password hash with insufficient computational effort","Creating a hash of a password with low computational effort makes the hash vulnerable to password cracking attacks.","warning","Password from [[""an access to password""|""relative:///lib/multihostClient.js:179:33:179:40""]] is hashed insecurely.","/lib/multihostClient.js","57","20","57","32"
"Use of password hash with insufficient computational effort","Creating a hash of a password with low computational effort makes the hash vulnerable to password cracking attacks.","warning","Password from [[""an access to password""|""relative:///lib/tools.js:70:61:70:86""]] is hashed insecurely.","/lib/tools.js","70","61","70","97"
"Use of password hash with insufficient computational effort","Creating a hash of a password with low computational effort makes the hash vulnerable to password cracking attacks.","warning","Password from [[""an access to password""|""relative:///lib/tools.js:95:61:95:86""]] is hashed insecurely.","/lib/tools.js","95","61","95","97"
"Use of password hash with insufficient computational effort","Creating a hash of a password with low computational effort makes the hash vulnerable to password cracking attacks.","warning","Password from [[""an access to password""|""relative:///lib/setup/setupMultihost.js:139:72:139:88""]] is hashed insecurely.
Password from [[""an access to password""|""relative:///lib/setup/setupMultihost.js:139:72:139:79""]] is hashed insecurely.","/lib/tools.js","153","18","153","23"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/lib/adapter.js","1645","31","1645","45"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/lib/adapter.js","1646","31","1646","45"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/adapter.js","3501","19","3503","20"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/adapter.js","3501","19","3502","20"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/adapter.js","3511","19","3517","20"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/adapter.js","3511","19","3516","20"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/adapter.js","3511","19","3515","20"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/adapter.js","3511","19","3514","20"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/adapter.js","3511","19","3513","20"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/adapter.js","3511","19","3512","20"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/lib/adapter.js","4550","31","4550","45"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/lib/adapter.js","4551","31","4551","45"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/lib/setup/setupList.js","192","22","192","35"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/lib/setup/setupVendor.js","153","30","153","39"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/lib/setup.js","1174","46","1174","60"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/lib/setup.js","1174","80","1174","94"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/tools.js","1406","15","1408","16"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/tools.js","1406","15","1407","16"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/tools.js","1416","15","1422","16"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/tools.js","1416","15","1421","16"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/tools.js","1416","15","1420","16"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/tools.js","1416","15","1419","16"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/tools.js","1416","15","1418","16"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/tools.js","1416","15","1417","16"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","The replaced string may still contain a substring that starts matching at [[""\.\.""|""relative:///lib/objects/objectsInMemServer.js:687:30:687:33""]].","/lib/objects/objectsInMemServer.js","687","18","687","40"
"Shell command built from environment values","Building a shell command string with values from the enclosing environment may cause subtle bugs or vulnerabilities.","warning","This shell command depends on an uncontrolled [[""absolute path""|""relative:///lib/restart.js:131:41:131:49""]].
This shell command depends on an uncontrolled [[""absolute path""|""relative:///lib/restart.js:131:41:131:49""]].
This shell command depends on an uncontrolled [[""absolute path""|""relative:///lib/tools.js:186:19:186:27""]].
This shell command depends on an uncontrolled [[""absolute path""|""relative:///lib/tools.js:186:19:186:27""]].","/lib/restart.js","131","17","134","6"
"Shell command built from environment values","Building a shell command string with values from the enclosing environment may cause subtle bugs or vulnerabilities.","warning","This shell command depends on an uncontrolled [[""absolute path""|""relative:///lib/tools.js:186:19:186:27""]].","/lib/scripts/scripts.js","39","22","39","24"
"Shell command built from environment values","Building a shell command string with values from the enclosing environment may cause subtle bugs or vulnerabilities.","warning","This shell command depends on an uncontrolled [[""absolute path""|""relative:///lib/setup/setupInstall.js:333:19:333:27""]].
This shell command depends on an uncontrolled [[""absolute path""|""relative:///lib/tools.js:186:19:186:27""]].","/lib/setup/setupInstall.js","366","32","366","34"
"Shell command built from environment values","Building a shell command string with values from the enclosing environment may cause subtle bugs or vulnerabilities.","warning","This shell command depends on an uncontrolled [[""absolute path""|""relative:///lib/setup/setupInstall.js:396:19:396:27""]].","/lib/setup/setupInstall.js","419","32","419","34"
